University,Country,Program,Min_CGPA,Min_IELTS,Tuition_Fee,Acceptance_Rate,World_Ranking,Job_Prospect
TU Berlin,Germany,AI,7.2,6.5,2681039,20,136,Medium
Technical University of Munich,Germany,AI,8.8,7.1,3108994,51,47,High
University of Cambridge,UK,Computer Science,6.5,7.7,1360733,49,148,High
University of Ottawa,Canada,MBA,6.1,6.3,2431434,7,23,Low
University of Toronto,Canada,AI,8.8,6.2,4747682,16,28,Low
UC Berkeley,USA,AI,8.0,7.6,2689638,41,52,Medium
University of Sydney,Australia,AI,7.9,5.8,1693306,94,38,High
University of Adelaide,Australia,Computer Science,8.6,5.6,3640288,6,140,Low
Free University of Berlin,Germany,Business,5.8,6.6,4544561,83,51,Low
NYU,USA,Computer Science,5.6,6.1,1974554,45,179,High
University of Hamburg,Germany,Computer Science,6.9,6.6,2616440,49,101,High
Nanyang Technological University,Singapore,MBA,7.2,7.4,1932457,16,162,High
University of Waterloo,Canada,Computer Science,6.8,6.8,3347198,47,49,Medium
University of Glasgow,UK,Computer Science,7.9,6.7,2816791,24,32,High
Singapore Management University,Singapore,Data Science,5.9,6.2,1967484,37,107,Low
University of Freiburg,Germany,Computer Science,5.6,7.1,2796241,51,44,Medium
Monash University,Australia,Business,6.0,6.6,2194413,21,160,Low
University of Ottawa,Canada,Data Science,8.8,7.0,3790087,74,29,Low
University of Edinburgh,UK,Engineering,6.5,6.1,4394530,42,40,Low
University of Ottawa,Canada,Engineering,8.5,6.9,3495819,21,152,Low
King's College London,UK,Computer Science,7.7,6.4,3928648,88,181,High
McGill University,Canada,AI,6.7,5.9,1238127,75,96,High
Singapore Management University,Singapore,MBA,6.6,7.1,1756300,66,109,Low
National University of Singapore,Singapore,MBA,6.8,5.8,1792616,37,31,High
University of Ottawa,Canada,Computer Science,6.7,6.6,2291307,34,63,Low
UCLA,USA,AI,6.3,7.1,2617187,42,34,Medium
University of Oxford,UK,Data Science,6.0,6.1,1238630,83,90,Low
University of Alberta,Canada,AI,7.1,7.9,1492293,94,109,Medium
Nanyang Technological University,Singapore,Business,7.8,6.1,3019801,79,179,Medium
Queen's University,Canada,AI,8.6,6.7,2263302,94,123,Medium
University of Bonn,Germany,Engineering,7.8,7.4,3970218,21,97,Medium
RMIT University,Australia,AI,7.6,5.7,2044981,62,177,Medium
Singapore Management University,Singapore,Engineering,8.5,6.5,1965350,89,145,Low
McMaster University,Canada,Business,6.6,6.5,4416687,30,137,Low
University of Washington,USA,Data Science,5.9,7.9,1680639,78,106,High
Heidelberg University,Germany,MBA,8.4,6.7,4656825,46,104,High
University of Toronto,Canada,Computer Science,7.3,7.1,4769480,89,113,Low
University of British Columbia,Canada,Computer Science,6.2,7.7,1888627,35,90,Medium
Harvard University,USA,Data Science,7.7,7.6,3176697,49,15,Low
University of Adelaide,Australia,AI,6.0,6.2,2991768,79,184,Medium
University of British Columbia,Canada,Business,8.9,5.8,2702352,48,47,High
University of Toronto,Canada,Engineering,6.5,7.3,1672286,95,6,Low
McGill University,Canada,Business,8.7,6.5,3470561,64,184,Medium
University of Stuttgart,Germany,Business,7.3,7.6,4906103,34,167,High
University of Adelaide,Australia,Data Science,8.7,5.5,1790273,77,125,High
MIT,USA,Engineering,7.8,5.9,3300944,13,3,Low
University of Hamburg,Germany,Data Science,7.0,6.8,3810540,43,31,High
University of Glasgow,UK,Computer Science,6.4,6.9,4868244,38,191,High
McGill University,Canada,AI,7.5,7.5,2089296,68,12,High
University of Edinburgh,UK,Business,5.9,6.5,1618533,88,57,Low
Nanyang Technological University,Singapore,AI,8.5,6.3,2700556,63,193,Low
National University of Singapore,Singapore,Computer Science,6.0,6.1,3665873,87,120,Low
University of Alberta,Canada,Data Science,7.7,6.7,1480711,39,116,High
University of Oxford,UK,AI,8.9,6.9,4253503,55,181,Medium
National University of Singapore,Singapore,AI,8.5,6.8,2905633,24,186,Medium
University of Hamburg,Germany,Computer Science,5.6,6.1,1827347,78,193,Low
University of Manchester,UK,Computer Science,6.8,7.0,4131628,47,166,Low
Monash University,Australia,Engineering,7.6,7.0,2503514,88,51,Low
RMIT University,Australia,Business,7.5,5.9,3521771,65,165,Medium
UCLA,USA,AI,8.6,5.7,3157402,14,87,Low
Western University,Canada,AI,7.2,5.7,3520455,11,40,Low
University of Cologne,Germany,Data Science,7.6,7.3,1692978,94,94,Medium
Stanford University,USA,Engineering,6.8,7.3,3424551,53,110,High
University of Queensland,Australia,Computer Science,7.8,6.7,3785445,52,143,Low
University of Queensland,Australia,Computer Science,8.7,7.9,1412705,46,171,High
Stanford University,USA,AI,7.6,6.7,4173452,57,195,Medium
MIT,USA,MBA,8.6,6.4,4895876,13,1,Low
University of Edinburgh,UK,Data Science,7.5,7.4,3927099,23,20,High
Free University of Berlin,Germany,Business,5.7,7.5,4191501,68,10,Low
RMIT University,Australia,Computer Science,8.2,5.8,2372036,68,103,Medium
RWTH Aachen University,Germany,MBA,7.8,7.9,4773077,69,191,Medium
National University of Singapore,Singapore,Engineering,5.7,5.8,3047049,37,9,Medium
Singapore Management University,Singapore,AI,7.9,6.8,3705491,24,105,Low
RMIT University,Australia,AI,7.1,6.0,1993138,33,45,Low
Singapore Management University,Singapore,Business,7.2,6.5,2788400,89,128,Medium
University of Oxford,UK,Computer Science,7.2,6.7,2649656,61,74,High
University of Waterloo,Canada,Engineering,8.0,6.3,4165707,51,70,Medium
Macquarie University,Australia,Computer Science,6.9,6.6,2311915,18,184,High
University of Queensland,Australia,AI,6.6,6.5,3495502,64,120,Medium
Nanyang Technological University,Singapore,Data Science,7.1,6.8,1502780,19,42,Low
National University of Singapore,Singapore,MBA,8.7,5.8,4502793,75,150,Medium
University of Cologne,Germany,Computer Science,5.6,5.6,2535985,54,167,Medium
Georgia Tech,USA,MBA,8.7,7.3,2549386,12,3,Medium
University College London,UK,Computer Science,7.2,7.3,3762792,89,124,High
Harvard University,USA,AI,8.9,6.2,3348221,48,52,Low
NYU,USA,Computer Science,6.3,5.8,2853515,52,117,Low
UCLA,USA,Computer Science,7.6,7.6,1953400,22,195,High
University of Manchester,UK,MBA,5.5,6.5,4575710,58,108,Medium
Nanyang Technological University,Singapore,MBA,9.0,7.6,3536837,45,123,High
University of Glasgow,UK,Business,5.5,7.3,3271027,84,62,High
Macquarie University,Australia,Data Science,8.7,5.7,3977040,40,191,Low
Western University,Canada,Business,7.3,6.6,4240985,35,145,Low
Free University of Berlin,Germany,Business,7.4,7.3,4036593,57,122,Medium
TU Berlin,Germany,Engineering,8.4,7.6,3123303,19,31,High
University of Leeds,UK,Computer Science,6.6,6.0,2702373,75,3,Medium
University of Michigan,USA,AI,5.8,7.4,2492527,77,160,Medium
Queen's University,Canada,AI,7.9,5.6,3625581,10,96,High
Free University of Berlin,Germany,AI,8.9,5.7,4801831,86,191,Medium
University of Edinburgh,UK,AI,7.8,6.0,4323514,93,127,Low
University of Leeds,UK,MBA,7.1,6.8,2831921,13,55,High
Western University,Canada,Computer Science,5.7,7.4,1703429,45,56,Medium
Harvard University,USA,Business,6.7,7.0,2200435,86,125,Low
University of Washington,USA,Computer Science,6.0,5.6,2648599,46,6,High
University of Cambridge,UK,Engineering,7.9,6.1,4086041,8,118,Low
Macquarie University,Australia,MBA,8.4,7.9,1584872,71,167,Medium
RWTH Aachen University,Germany,Data Science,7.7,6.0,4563314,77,69,Low
University of Cologne,Germany,Computer Science,6.3,7.7,1432455,49,98,Low
University of British Columbia,Canada,Data Science,8.6,7.7,4298688,38,73,Low
University of Alberta,Canada,MBA,8.5,7.4,3514963,67,83,High
National University of Singapore,Singapore,Computer Science,8.0,5.5,2975639,49,93,Medium
King's College London,UK,Computer Science,5.5,7.3,4242355,24,59,Low
National University of Singapore,Singapore,Business,8.4,7.9,3128816,18,66,Medium
Monash University,Australia,MBA,8.0,6.6,3063957,41,97,Low
National University of Singapore,Singapore,AI,5.8,7.7,4146330,95,89,High
Singapore Management University,Singapore,MBA,8.1,7.5,3437087,88,13,Low
University of Melbourne,Australia,Computer Science,6.7,5.8,2766226,65,39,Medium
University of Freiburg,Germany,Engineering,7.9,5.6,3999696,74,199,Medium
Georgia Tech,USA,MBA,8.4,7.9,3676666,15,112,High
University of Cologne,Germany,Computer Science,8.5,7.9,3522454,91,32,Medium
University of Edinburgh,UK,Business,7.1,7.4,1333001,34,83,Medium
University of Ottawa,Canada,Data Science,6.8,6.1,3639937,90,64,High
University of Waterloo,Canada,Computer Science,8.7,7.1,4638020,36,25,High
UNSW Sydney,Australia,Computer Science,8.8,6.9,2770074,19,90,Low
University of Queensland,Australia,Engineering,6.9,7.8,2089857,31,174,Medium
Imperial College London,UK,Computer Science,6.2,6.8,2783454,8,142,Low
Free University of Berlin,Germany,Data Science,5.8,6.9,4246273,5,200,High
National University of Singapore,Singapore,AI,7.1,7.0,1370676,17,146,Medium
University of Leeds,UK,MBA,5.6,7.1,4621552,40,46,High
Purdue University,USA,Data Science,6.3,6.8,2209029,7,46,High
Singapore Management University,Singapore,Business,8.2,6.2,2281870,92,92,Low
University of Edinburgh,UK,MBA,8.0,6.7,3681268,28,146,High
TU Berlin,Germany,AI,5.7,7.2,4226689,81,105,Low
University of Adelaide,Australia,AI,5.6,6.1,1878403,6,29,Low
McGill University,Canada,Data Science,6.9,5.5,4468725,84,57,Medium
University of Bonn,Germany,Engineering,6.8,7.7,4419560,95,119,High
University of Queensland,Australia,Business,8.1,5.5,3405403,33,182,Low
Purdue University,USA,Data Science,8.5,6.2,2523178,33,16,Low
University of Bonn,Germany,AI,6.7,7.6,4461736,47,43,High
Nanyang Technological University,Singapore,Engineering,8.7,6.8,2753366,82,59,Medium
UC Berkeley,USA,MBA,5.7,7.5,1247417,59,195,Low
Western University,Canada,AI,6.9,5.8,1515356,66,152,Medium
Nanyang Technological University,Singapore,Data Science,8.1,6.1,4808691,37,33,Medium
University of Manchester,UK,MBA,8.8,5.7,4926631,73,105,Low
Stanford University,USA,Engineering,8.5,5.9,1991457,50,33,Medium
University of Bonn,Germany,MBA,7.3,6.5,3488696,94,174,High
Simon Fraser University,Canada,Business,6.7,6.1,2829933,49,81,Medium
Singapore Management University,Singapore,Computer Science,8.9,6.5,1394735,9,8,Low
NYU,USA,Engineering,6.2,7.9,1236405,21,62,High
University of Queensland,Australia,Business,7.0,7.3,4392468,59,61,Medium
Nanyang Technological University,Singapore,AI,8.9,6.0,1327902,33,185,Low
University of Cambridge,UK,Engineering,5.7,7.3,4323595,87,168,Low
University of Ottawa,Canada,MBA,8.3,6.9,4734692,36,45,High
Nanyang Technological University,Singapore,Engineering,8.2,5.9,1687467,22,64,Medium
UNSW Sydney,Australia,MBA,7.0,6.8,1765658,40,197,Low
National University of Singapore,Singapore,MBA,8.6,7.3,3861914,46,55,High
King's College London,UK,Computer Science,8.7,5.5,1223723,56,89,Low
TU Berlin,Germany,Engineering,7.1,6.6,1876124,18,54,Low
Monash University,Australia,MBA,6.0,5.9,2120936,30,31,Medium
University of Freiburg,Germany,Data Science,8.1,7.4,3455427,39,93,High
University of Cologne,Germany,MBA,5.8,7.5,2246926,65,3,High
Stanford University,USA,Business,6.2,7.9,2046496,12,112,Low
Nanyang Technological University,Singapore,Data Science,7.7,7.8,1486154,22,4,High
University of Melbourne,Australia,Data Science,6.7,6.6,3392734,24,188,Low
University of Adelaide,Australia,Computer Science,5.8,7.3,2354697,15,58,Low
University College London,UK,Computer Science,6.0,7.6,4135384,53,90,High
University of British Columbia,Canada,Computer Science,6.5,7.4,2123819,48,106,Medium
Purdue University,USA,AI,6.9,5.6,3103933,5,184,High
McGill University,Canada,Engineering,5.9,7.1,3188712,48,68,High
Western University,Canada,Business,5.6,5.8,3372956,71,79,Medium
National University of Singapore,Singapore,Business,8.5,6.8,2489660,86,144,Low
University of Oxford,UK,MBA,7.2,6.5,4394226,45,177,Medium
University of Edinburgh,UK,Business,6.6,7.8,3248442,19,148,High
Stanford University,USA,MBA,7.3,7.0,3527097,69,93,Medium
University of Toronto,Canada,AI,6.6,6.2,2740562,28,165,Medium
Heidelberg University,Germany,MBA,6.3,7.9,3017048,20,20,Medium
Simon Fraser University,Canada,Engineering,6.2,7.9,3718598,29,38,Medium
NYU,USA,Data Science,6.5,5.5,2459011,37,94,High
Macquarie University,Australia,Data Science,7.6,7.2,2360237,7,92,High
RMIT University,Australia,Computer Science,7.0,7.4,2159186,10,188,High
University of Melbourne,Australia,Data Science,6.5,6.5,3388286,8,13,High
University of Melbourne,Australia,AI,5.9,6.7,2332201,76,44,Medium
University of Glasgow,UK,AI,8.8,5.8,1935835,9,23,Medium
TU Berlin,Germany,AI,7.5,6.0,1753227,65,156,High
Western University,Canada,MBA,8.5,5.9,3923610,39,135,High
McGill University,Canada,Computer Science,6.3,6.3,2971813,95,166,Low
Imperial College London,UK,Business,7.6,7.6,3126944,54,62,Low
NYU,USA,Business,9.0,6.8,2183489,82,187,Medium
University of Toronto,Canada,Computer Science,6.5,7.2,1763629,17,20,High
University of Hamburg,Germany,MBA,5.5,7.2,4562776,23,34,High
University College London,UK,AI,6.6,6.5,3906201,93,102,Low
Nanyang Technological University,Singapore,MBA,6.1,5.6,3310408,59,190,High
University of Melbourne,Australia,Business,6.5,7.7,1318916,84,167,High
National University of Singapore,Singapore,Computer Science,6.1,6.1,2244253,70,78,Medium
National University of Singapore,Singapore,Data Science,8.8,7.6,4804824,32,116,Low
University of Cambridge,UK,Computer Science,6.1,7.5,3512915,16,119,Medium
UC Berkeley,USA,MBA,6.3,6.3,2459235,15,99,Low
University of Waterloo,Canada,Data Science,7.0,6.0,1450896,82,128,High
